formula, formation_energy_per_atom, density, band_gap, total_magnetization, k, g, elastic_anisotropy
Sc2AlOs, -0.480399, 7.168696, 0.000000, 0.000463, 125.328128, 52.265281, 1.504282
Sc2AlSi2, -0.679050, 3.290025, 0.000000, 0.003051, 101.635488, 76.141388, 0.260850
Sc2AlTc, -0.370827, 4.909928, 0.000000, 0.000869, 108.061105, 45.199400, 0.977239
Sc2AlZn, -0.424914, 3.938288, 0.000000, 0.001600, 76.136493, 55.576812, 2.797865
Sc3Al, -0.268877, 3.083513, 0.000000, 1.960481, 64.213252, 41.766526, 0.088274
Sc3AlC, -0.594601, 3.142636, 0.000000, 0.000135, 101.734241, 82.933630, 0.014949
ScAl, -0.446749, 3.099620, 0.000000, 0.001492, 78.187794, 58.094274, 7.012329
ScAl2, -0.486889, 3.009750, 0.000000, 0.002839, 87.805711, 69.321384, 0.013737
ScAl2Ni, -0.656923, 4.089561, 0.000000, 0.000564, 107.119312, 67.381880, 0.553748
ScAl3, -0.454931, 3.017273, 0.000000, 0.000187, 84.292536, 70.520831, 0.000313
ScAlAg2, -0.332717, 6.595297, 0.000000, 0.002086, 96.501038, 35.235720, 6.463644
ScAlAu2, -0.705044, 10.724740, 0.000000, 0.001618, 113.866191, 25.223936, 1.104021
ScAlCo2, -0.515428, 5.881791, 0.000000, 0.000570, 147.510920, 91.325214, 0.007609
ScAlCu2, -0.412943, 5.545314, 0.000000, 0.000076, 107.849811, 49.539594, 1.233053
ScAlIr2, -1.009157, 12.424466, 0.000000, 0.000212, 194.320729, 106.957987, 0.000989
ScAlNi2, -0.627430, 5.675439, 0.000000, 0.000037, 132.863250, 58.161045, 0.302836
ScAlPd2, -0.950400, 7.241820, 0.000000, 0.000920, 130.558593, 42.131729, 0.266967
ScAlRh2, -1.089974, 7.590063, 0.000000, 0.000024, 163.366414, 83.899796, 0.020253
SmAlO3, -3.697795, 6.961197, 4.861400, 0.000000, 182.449433, 111.581618, 0.197344
Sr(AlSi)2, -0.267150, 2.877425, 0.000000, 0.003291, 59.499050, 39.585054, 0.349081
Sr(AlTe2)2, -1.075739, 4.521576, 1.445400, 0.000018, 23.750156, 14.953820, 0.802954
Sr3(AlGe)2, -0.495700, 3.825313, 0.000000, 0.000577, 41.008997, 30.155500, 0.180578
Sr3(AlGe2)2, -0.501175, 4.466918, 0.000000, 0.000494, 46.425253, 33.257236, 0.661876
Sr3(AlN2)2, -1.164128, 4.289650, 2.127500, 0.000529, 86.936631, 47.576478, 0.551276
Sr3(AlSi)2, -0.379843, 3.159108, 0.000000, 0.002484, 43.661681, 31.523490, 0.185665
Sr3Al3N5, -1.242142, 4.163284, 2.193400, 0.001013, 104.606400, 57.758158, 1.225133
SrAl2O4, -3.459254, 3.442440, 4.142000, 0.001118, 82.094417, 45.801647, 0.135961
SrAl4, -0.232307, 2.897180, 0.000000, 0.000203, 53.958848, 30.583211, 0.203623
SrAl9Co2, -0.402806, 3.512871, 0.000000, 0.018270, 82.738489, 60.100424, 0.092419
SrAlGe, -0.470386, 4.020471, 0.000000, 0.003694, 49.256625, 35.107863, 0.252915
SrAlSi, -0.375330, 3.162717, 0.000000, 0.001538, 55.822115, 39.509541, 0.327126
SrAlSiH, -0.459977, 3.102445, 0.625700, 0.000015, 56.597306, 43.026642, 0.978251
Ta2AlC, -0.524178, 11.450463, 0.000000, 0.003638, 193.570041, 123.515606, 0.145762
Ta3AlC2, -0.568923, 12.251033, 0.000000, 0.000476, 225.015613, 159.856617, 0.029926
TaAl3, -0.318202, 6.813776, 0.000000, 0.000035, 132.819246, 105.333134, 0.177489
TaAlCo2, -0.479382, 10.241166, 0.000000, 1.986369, 202.787539, 101.630293, 0.396796
TaAlFe2, -0.452632, 10.237692, 0.324200, 0.000076, 221.804615, 137.128378, 0.000085
TaAlOs2, -0.551588, 16.169055, 0.000000, 0.000606, 271.900102, 143.415255, 0.001795
TaAlRu2, -0.747777, 11.461135, 0.000000, 0.008594, 239.196857, 131.385711, 0.009367
TaMn2Al, -0.303427, 9.781667, 0.000000, 1.998412, 200.871365, 109.826307, 0.287866
Ti2AlC, -0.700269, 3.993101, 0.000000, 0.002819, 137.139159, 112.548969, 0.021805
Ti2AlMo, -0.322695, 5.652812, 0.000000, 0.001775, 150.078711, 46.615388, 1.096641
Ti2AlN, -1.260450, 4.264332, 0.000000, 0.025317, 155.365200, 115.424783, 0.055288
